"","date","grimm_pm10","n_0044","n_0075","n_0100","n_0120","n_0140","n_0200","n_0250","n_0500","n_0750","n_1000","ws","mws","wd","temp","rh","pres","prec","poj_h","n_0250_m","n_0500_m","n_0200_m","n_0100_m","n_0200_mm","n_0075_c","n_0140_c","n_0500_c","n_1000_c","wday","hour"
"677",2022-04-30 04:00:00,53.3,165.592424242424,27.0614737281068,1.88357798165138,0.334002502085071,0.199804003336113,0.371867389491243,0.10223714206283,0.158573811509591,0.0168590492076731,0.00525382262996942,0.47,1.2,295,4.6083333333333,67.193333333333,997.24333333333,0,3000,2.89148901862663,0.260810953572421,2.7892518765638,28.9450517097581,0.905673894912427,192.653897970531,0.533806505421184,0.260810953572421,0.0221128718376425,"6","4"
"678",2022-04-30 05:00:00,56.8,216.537966638866,33.6113291631915,2.27079260494857,0.388038921323325,0.230388935223798,0.429099249374479,0.108937169863775,0.161940505977203,0.0158787878787879,0.00537503475118154,0.88833333333333,2,18,7.2583333333333,59.758333333333,997.22,0,3000,3.42725688073395,0.270877675840979,3.31831971087017,35.8821217681401,1.0475271059216,250.149295802057,0.618427856547123,0.270877675840979,0.0212538226299694,"6","5"
"679",2022-04-30 06:00:00,55.1,172.146620795107,25.8894798443147,1.7548448707256,0.314070336391437,0.200573255490687,0.414683347233806,0.124095913261051,0.199621073116486,0.0232115651932166,0.00893772588268001,1.295,2.9,64,9.8483333333333,50.651666666667,997.225,0,3000,2.80826772310259,0.323716986377537,2.68417180984153,27.6443247150403,0.92932693911593,198.036100639422,0.514643591882124,0.323716986377537,0.0321492910758966,"6","6"
"680",2022-04-30 07:00:00,45,133.951779260495,20.2804514873506,1.36281289963859,0.252910480956352,0.16576285793717,0.348765916041145,0.102763969974979,0.171235195996664,0.0196396997497915,0.00747817625799277,1.5716666666667,2.6,74,12.603333333333,40.878333333333,997.12666666667,0,3000,2.23301612454823,0.273999165971643,2.13025215457326,21.6432643869892,0.767439254934668,154.232230747845,0.418673338893522,0.273999165971643,0.0271178760077843,"6","7"
"681",2022-04-30 08:00:00,30.5,50.4073586321935,7.50810425354462,0.436471226021685,0.101225465665833,0.0705515707534056,0.16766583263831,0.0500656102307478,0.0822110091743119,0.0115257158743397,0.00417319988879622,1.915,3.5,93,14.595,30.595,997.12666666667,0,3000,0.825979705309981,0.13227661940506,0.775914095079233,7.94457547956631,0.339442869057548,57.9154628857381,0.171777036419238,0.13227661940506,0.0156989157631359,"6","8"
"682",2022-04-30 09:00:00,24.4,49.4866691687517,7.07561579093689,0.397251598554351,0.0959007506255213,0.0707281067556297,0.166603002502085,0.044729218793439,0.0751748679455101,0.00983625243258271,0.0037047539616347,2.0533333333333,4.3,72,15.588333333333,28.403333333333,996.81833333333,0,3000,0.775212677231026,0.119904086738949,0.730483458437587,7.47286738949124,0.333231859883236,56.5622849596886,0.166628857381151,0.119904086738949,0.0135410063942174,"6","9"
"683",2022-04-30 10:00:00,21.8,54.6823491798721,7.81452766194051,0.435124270225188,0.11117125382263,0.080525993883792,0.193200722824576,0.048705865999444,0.0794434250764526,0.0103539060328051,0.00444036697247706,2.0283333333333,3.8,113,16.408333333333,28.088333333333,996.28,0,3000,0.86872810675563,0.128149291075897,0.820022240756186,8.24965193216569,0.384897970530998,62.4968768418126,0.191697247706422,0.128149291075897,0.0147942730052822,"6","10"
"684",2022-04-30 11:00:00,23.9,54.4212958843159,7.32237458286986,0.475305339265851,0.125838153503893,0.0918948832035595,0.221497497219132,0.0548718020022247,0.0820180756395995,0.00990600667408231,0.00382230255839822,1.4683333333333,3.1,203,17.275,26.463333333333,995.81666666667,0,3000,0.969407675194661,0.136889877641824,0.914535873192436,7.79767992213571,0.439230533926585,61.7436704671858,0.217733036707453,0.136889877641824,0.0137283092324805,"6","11"
"685",2022-04-30 12:00:00,23,52.2706925215457,6.53332332499305,0.468521267723103,0.124725326661106,0.0925006950236308,0.22407422852377,0.0548782318598832,0.0852313038643314,0.0102243536280234,0.00398915763135947,1.1916666666667,3.1,249,16.968333333333,26.913333333333,995.38833333333,0,3000,0.964699749791493,0.140109535724215,0.90982151793161,7.00184459271615,0.441300250208507,58.8040158465388,0.217226021684737,0.140109535724215,0.0142135112593828,"6","12"
"686",2022-04-30 13:00:00,25.5,50.6949246594384,6.39735251598554,0.469922435362802,0.125446205170976,0.0934356408117876,0.220437030859049,0.0565988323603002,0.0847208785098693,0.0104075618571031,0.00415540728384765,2.025,3.9,46,16.818333333333,28.096666666667,995.03833333333,0,3000,0.965840144564915,0.14131971087017,0.909241312204615,6.86727495134835,0.439318876841813,57.092277175424,0.218881845982763,0.14131971087017,0.0145629691409508,"6","13"
